Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Sr0.21Co4Sb12.25,550.0,-170.0,155000.0,3.8,0.0044795,0.6483486842105264,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,600.0,-176.0,146364.0,3.68,0.004533771264,0.7392018365217391,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,650.0,-184.0,137273.0,3.65,0.004647514688,0.8276396019726028,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,700.0,-188.0,131818.0,3.62,0.004658975392,0.900906843756906,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,750.0,-192.0,128182.0,3.65,0.004725301248,0.9709523112328767,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,800.0,-193.0,125000.0,3.68,0.004656125,1.0122010869565217,10.1007/s00339-010-5711-3
Sr0.21Co4Sb12.25,850.0,-193.0,122273.0,3.8,0.004554546977,1.0187802448552632,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,300.0,-109.0,342273.0,4.23,0.004066545513,0.2884074831914893,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,350.0,-119.0,315000.0,4.08,0.004460715,0.38265937499999997,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,400.0,-127.0,287273.0,3.94,0.004633426217,0.4703986007106599,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,450.0,-136.0,260000.0,3.85,0.00480896,0.5620862337662338,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,500.0,-146.0,243182.0,3.77,0.005183667512,0.6874890599469495,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,550.0,-153.0,227273.0,3.72,0.005320233657,0.7865936858467741,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,600.0,-158.0,214545.0,3.68,0.00535590138,0.8732447902173912,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,650.0,-163.0,204091.0,3.64,0.0054224937789999995,0.9683024605357142,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,700.0,-170.0,194091.0,3.6,0.0056092299,1.0906835916666666,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4Sb12.12,750.0,-175.0,186818.0,3.64,0.00572130125,1.1788395432692307,10.1007/s00339-010-5711-3
